Unnamed: 0,row_index,id,bill_id,cong,bill_type,bill_no,name_full,description,intr_date,intr_month,year,pap_majortopic,pap_subtopic,majortopic,subtopic,filter_plaw,plaw_date,plaw_no,pass_h,pass_s,majority,party,chamber,comment,predicted_label,inference_path
254,254,225257,93-HR-15987,93,HR,15987,Carleton James King,"A bill to terminate the granting of construction licenses of nuclear fission powerplants in the United States pending action by the Congress following a comprehensive 5-year study of the nuclear fuel cycle, with particular reference to its safety and environmental hazards, to be conducted by the Office of Technological Assessment.",7/18/74,7.0,1974,8,801,8,801,0,,0,0.0,0.0,0.0,200.0,1,,8,L2_Heterogeneous_Match
255,255,227869,93-HR-13087,93,HR,13087,Robert Nelson Cornelius Nix,"A bill to amend the Natural Gas Act to secure adequate and reliable supplies of natural gas and oil at the lowest reasonable cost to the consumer, and for other purposes.",2/27/74,2.0,1974,8,803,8,803,0,,0,0.0,0.0,1.0,100.0,1,,8,L2_Heterogeneous_Match
256,256,445490,111-H-2754,111,HR,2754,Lois Capps,"To amend the Public Health Service Act to establish the Nurse-Managed Health Clinic Investment program, and for other purposes.",2006/8/9,6.0,2009,3,322,3,322,0,0000-00-00,,0.0,0.0,1.0,100.0,1,0,3,L2_Heterogeneous_Match
257,257,429670,108-HR-5335,108,HR,5335,Nancy Pelosi,"To amend the Public Health Service Act to establish a Coordinated Environmental Health Network, and for other purposes.",2010/8/4,10.0,2004,7,700,7,700,0,,0,0.0,0.0,0.0,100.0,1,,3,L3_Expert_Consensus
258,258,2659,100-HR-5062,100,HR,5062,George Joseph Hochbrueckner,A bill to amend the Public Health Service Act to establish a program of grants to the States for the purpose of providing for research and treatment with respect to Lyme disease.,7/14/88,7.0,1988,3,398,3,398,0,,0,0.0,0.0,1.0,100.0,1,,3,L2_Heterogeneous_Match
259,259,286463,98-HR-2928,98,HR,2928,Ronald Charles Marlenee,A bill to make unavailable certain financial assistance with respect to agricultural commodities produced on highly erodible land and to authorize the Secretary of Agriculture to reimburse producers for the cost of applying long-term conservation practices to such land.,5/5/83,5.0,1983,4,402,4,402,0,,0,0.0,0.0,0.0,200.0,1,,4,L2_Heterogeneous_Match
260,260,978987,112-H-1481,112,HR,1481,Jared Polis,To amend the Internal Revenue Code of 1986 to encourage the purchase of residential property by providing an exclusion from tax on certain gains.,2004/12/11,4.0,2011,2,200,2,200,0,,,,,1.0,100.0,1,,14,L2_Heterogeneous_Match
261,261,317715,81-S-541,81,S,541,"O'Conor, Herbe","A bill to amend the act entitled An act to reclassify the salaries of postmasters, officers, and employees of the Postal Service; to establish uniform procedures for computing compensation; and for other purposes, approved July 6, 1945, with respect to ",,,1949,20,2003,20,2003,0,,,0.0,1.0,1.0,100.0,2,,20,L2_Heterogeneous_Match
262,262,408924,108-S-1168,108,S,1168,Jeff Bingaman,"A bill to amend title 23, United States Code, to establish a program to increase the use of recyclable material in the construction of Federal-aid highways.",2006/3/3,6.0,2003,10,1002,10,1002,0,,0,0.0,0.0,0.0,100.0,2,,10,L2_Heterogeneous_Match
263,263,104077,86-HR-3896,86,HR,3896,"Davis, Clifford",To repeal the excise tax on amounts paid for communication services or facilities,,,1959,17,1706,17,1706,0,,,0.0,0.0,1.0,100.0,1,,17,L2_Heterogeneous_Match
264,264,48275,81-HR-2743,81,HR,2743,"Van Zandt, James E.","To provide every adult citizen in the United States with equal basic Federal insurance, permitting retirement with benefits at age 60, and also covering total disability, from whatever cause, for certain citizens under 60; to give protection to widows wit",,,1949,13,1303,13,1303,0,,,0.0,0.0,0.0,200.0,1,,13,L2_Heterogeneous_Match
265,265,219787,93-HR-14661,93,HR,14661,Ronald Vernie Dellums,A bill to authorize the Secretary of Agriculture to distribute seeds and plants for use in home gardens.,5/7/74,5.0,1974,4,499,4,499,0,,0,0.0,0.0,1.0,100.0,1,,4,L2_Heterogeneous_Match
266,266,379057,96-S-3192,96,S,3192,David Lyle Boren,A bill to authorize funds for the Carl Albert Congressional Research Studies Center.,11/12/80,11.0,1980,6,601,6,601,0,,0,0.0,0.0,1.0,100.0,2,,20,L2_Heterogeneous_Match
267,267,24142,104-HR-2827,104,HR,2827,H. James Jim Saxton,"To consolidate and improve governmental environmental research by organizing a National Institute for the Environment, and for other purposes.",12/21/95,12.0,1995,7,798,7,798,0,,0,0.0,0.0,1.0,200.0,1,,7,L2_Heterogeneous_Match
268,268,140926,89-HR-824,89,HR,824,"Mathias, Charles McC. Jr.",Granting the consent of Congress to a compact relating to taxation of motor fuels consumed by interstate buses and to an agreement relating; to bus taxation proration and reciprocity,,,1965,8,803,8,803,0,,,1.0,0.0,0.0,200.0,1,,10,L3_Expert_Consensus
269,269,377890,96-S-872,96,S,872,John Hubbard Chafee,"A bill to amend section 5(e) of the Food Stamp Act of 1977 to increase the amount of the deduction allowed under such section for excess shelter expense, and for other purposes.",4/4/79,4.0,1979,13,1300,13,1300,0,,0,0.0,0.0,0.0,200.0,2,,13,L2_Heterogeneous_Match
270,270,454002,111-S-848,111,S,848,Claire McCaskill,"A bill to recognize and clarify the authority of the States to regulate intrastate helicopter medical services, and for other purposes.",4/22/09,4.0,2009,3,322,3,322,0,0000-00-00,,0.0,0.0,1.0,100.0,2,0,3,HITL_Manual
271,271,367755,93-S-3344,93,S,3344,Edward M. Ted Kennedy,"A bill to authorize appropriations for activities of the National Science Foundation, and for other purposes.",4/10/74,4.0,1974,17,1798,17,1798,0,,0,0.0,0.0,1.0,100.0,2,,17,L2_Heterogeneous_Match
272,272,215586,92-HR-16386,92,HR,16386,"Abzug, Bella S.","To provide youth services grants, and for other purposes",,,1972,5,506,5,506,0,,,0.0,0.0,1.0,100.0,1,,13,L2_Heterogeneous_Match
273,273,236441,94-HR-2997,94,HR,2997,"Pierre Samuel, IV du Pont",A bill to amend title II of the Social Security Act so as to remove the limitation upon the amount of outside income which an individual may earn while receiving benefits thereunder.,2/6/75,2.0,1975,13,1303,13,1303,0,,0,0.0,0.0,0.0,200.0,1,,13,L2_Heterogeneous_Match
274,274,100430,86-HR-166,86,HR,166,"Lane, Thomas J.",To prohibit the charging of a fee to view telecasts in private homes,,,1959,17,1706,17,1706,0,,,0.0,0.0,1.0,100.0,1,,17,L2_Heterogeneous_Match
275,275,5384,100-HR-5285,100,HR,5285,William Blaine Richardson,A bill to prohibit an increase in the fee for the use of lands under the jurisdiction of the Secretary of Agriculture or the Secretary of the Interior for electronic communication purposes.,9/13/88,9.0,1988,17,1707,17,1707,0,,0,0.0,0.0,1.0,100.0,1,,21,L3_Expert_Consensus
276,276,388325,80-S-83,80,S,83,"Ferguson, Home",A bill authorizing the naturalization of Elizabeth Pickering Winn,,,1947,9,900,9,900,0,,,0.0,0.0,1.0,200.0,2,,9,L2_Heterogeneous_Match
277,277,449736,111-H-661,111,HR,661,Joe Linus Barton,To provide additional coupons for the digital-to-analog converter box program and to expedite delivery of coupons under such program.,1/23/09,1.0,2009,17,1707,17,1707,0,0000-00-00,,0.0,0.0,0.0,200.0,1,0,17,L2_Heterogeneous_Match
278,278,408071,108-S-315,108,S,315,Patrick J. Leahy,A bill to support first responders to protect homeland security and prevent and respond to acts of terrorism.,2002/5/3,2.0,2003,16,1615,16,1615,0,,0,0.0,0.0,0.0,100.0,2,,12,L3_Expert_Consensus
279,279,103517,86-HR-3062,86,HR,3062,"Rivers, Ralph J.",To extend the life of the Alaska International Rail and Highway Commission,,,1959,10,1000,10,1000,0,,,0.0,0.0,1.0,100.0,1,,10,L2_Heterogeneous_Match
280,280,437296,110-HR-1094,110,HR,1094,Ronald E. Ron Paul,To provide that human life shall be deemed to exist from conception.,2/15/07,2.0,2007,2,208,2,208,0,,0,0.0,0.0,0.0,100.0,1,,2,L2_Heterogeneous_Match
281,281,89039,85-HR-2460,85,HR,2460,"Kilday, Paul J.","To improve the career opportunities of nurses and medical specialists of the Army, Navy, and Air Force.",,,1957,16,1608,16,1608,1,,,1.0,1.0,1.0,100.0,1,,16,L3_Expert_Consensus
282,282,244610,94-HR-13683,94,HR,13683,"Allen, Clifford R.","A bill to establish a Department of Health, a Department of Education, and a Department of Welfare, and to direct the President to prepare a reorganization plan providing for the transfer to such Departments of all functions of the Department of Health, E",5/11/76,5.0,1976,13,1300,13,1300,0,,0,0.0,0.0,1.0,100.0,1,,20,L3_Expert_Consensus
283,283,360505,92-S-1700,92,S,1700,"SPARKMAN, JOHN JACKSON","A bill to amend section 14(5) of the Federal Reserve Act, as amended, to extend for 2 years the authority of Federal Reserve banks to purchase U.S. obligations directly from the Treasury",,,1971,15,1501,15,1501,1,,,1.0,1.0,1.0,100.0,2,,1,L2_Heterogeneous_Match
284,284,38865,80-HR-807,80,HR,807,"Rogers, Edith Nourse","To amend the National Service Life Insurance Act of 1940, as amended",,,1947,16,1609,16,1609,0,,,0.0,0.0,1.0,200.0,1,,16,L2_Heterogeneous_Match
285,285,110340,86-HR-9830,86,HR,9830,"Moulder, Morgan M.","To require an act of Congress for public land withdrawals in excess of 5,000 acres in the aggregate for any project or facility of any department or agency of the Government",,,1960,21,2103,21,2103,0,,,0.0,0.0,1.0,100.0,1,,21,L2_Heterogeneous_Match
286,286,251661,95-HR-13550,95,HR,13550,Marjorie Sewell Holt,A bill to limit the growth rate of Federal spending and provide for permanent tax rate reductions for individuals and businesses.,7/20/78,7.0,1978,1,100,1,100,0,,0,0.0,0.0,0.0,200.0,1,,1,L2_Heterogeneous_Match
287,287,433088,109-HR-3322,109,HR,3322,Nancy Lee Johnson,"To amend the Immigration and Nationality Act with respect to the H-1B and L-1 visa programs to prevent unintended United States job losses, to increase the monitoring and enforcement authority of the Secretary of Labor over such programs, and for other purposes.",7/18/05,7.0,2005,9,900,9,900,0,,0,,0.0,1.0,200.0,1,,9,L2_Heterogeneous_Match
288,288,311656,106-S-903,106,S,903,Herbert H. Herb Kohl,"A bill to facilitate the exchange by law enforcement agencies of DNA identification information relating to violent offenders, and for other purposes.",4/28/99,4.0,1999,12,1201,12,1201,0,,0,0.0,0.0,0.0,100.0,2,,12,L2_Heterogeneous_Match
289,289,306565,104-S-2176,104,S,2176,J. Robert Kerrey,A bill to amend the Internal Revenue Code of 1986 and the Social Security Act to provide for personal investment plans funded by employee security payroll deductions.,9/30/96,9.0,1996,13,1303,13,1303,0,,0,0.0,0.0,0.0,100.0,2,,1,L2_Heterogeneous_Match
290,290,371248,94-S-2046,94,S,2046,"Percy, Charles H.","A bill to amend the Internal Revenue Code of 1954 to provide tax incentives for the manufacture, importation, and purchase of automobiles which use fuel efficiency.",6/27/75,6.0,1975,8,807,8,807,0,,0,0.0,0.0,0.0,200.0,2,,8,L3_Expert_Consensus
291,291,411378,109-S-587,109,S,587,Mark Dayton,"A bill to amend title 40, United States Code, to require that automobiles and light trucks manufactured after model year 2006 be able to operate on a fuel mixture that is at least 85 percent ethanol, and for other purposes.",2003/10/5,3.0,2005,8,807,8,807,0,,0,,0.0,0.0,100.0,2,,8,L2_Heterogeneous_Match
292,292,436821,110-HR-619,110,HR,619,Nita M. Lowey,To prohibit the application of certain restrictive eligibility requirements to foreign nongovernmental organizations with respect to the provision of assistance under part I of the Foreign Assistance Act of 1961.,1/22/07,1.0,2007,19,1901,19,1901,0,,0,0.0,0.0,1.0,100.0,1,,19,L2_Heterogeneous_Match
293,293,169197,90-HR-10590,90,HR,10590,"Machen, Hervey G.",To prohibit the disposal of the Naval Academy dairy,,,1967,2,207,2,207,0,,,0.0,0.0,1.0,100.0,1,,21,L3_Expert_Consensus
294,294,445548,111-H-2806,111,HR,2806,Doc Hastings,"To authorize the Secretary of the Interior to adjust the boundary of the Stephen Mather Wilderness and the North Cascades National Park in order to allow the rebuilding of a road outside of the floodplain while ensuring that there is no net loss of acreage to the Park or the Wilderness, and for other purposes.",2006/10/9,6.0,2009,21,2103,21,2103,0,0000-00-00,,1.0,0.0,0.0,200.0,1,0,21,L2_Heterogeneous_Match
295,295,160688,90-HR-2116,90,HR,2116,"Morse, F. Bradford","To amend the Internal Revenue Code of 1954 to allow a 30-percent credit against the individual income tax for amounts paid for tuition, fees, or services to certain public and private institutions of higher education or for occupational training or retraining",,,1967,6,601,6,601,0,,,0.0,0.0,0.0,200.0,1,,6,L2_Heterogeneous_Match
296,296,1005781,113-HR-5785,113,HR,5785, Alan Grayson,To amend the Internal Revenue Code of 1986 to make permanent the exclusion from gross income of discharges of qualified principal residence indebtedness.,2012/3/14,12.0,2014,15,1504,15,1504,0,,,0.0,0.0,0.0,100.0,1,0,14,L3_Expert_Consensus
297,297,285962,114-HR-4060,114,hr,4060,Juan Vargas,"To establish certain conservation and recreation areas in the State of California, and for other purposes.",11/18/15,11.0,2015,7,711,7,711,0,,,0.0,0.0,0.0,100.0,0,.,21,L2_Heterogeneous_Match
298,298,312943,107-S-253,107,S,253,Susan M. Collins,A bill to reauthorize the Rural Education Initiative in subpart 2 of part J of title X of the Elementary and Secondary Education Act of 1965.,2002/6/1,2.0,2001,6,602,6,602,0,,,0.0,0.0,0.0,200.0,2,,6,L2_Heterogeneous_Match
299,299,66895,83-HR-3148,83,HR,3148,"Bender, George H.",To provide for the appointment of one additional district judge for the northern district of Ohio,,,1953,12,1204,12,1204,0,,,0.0,0.0,1.0,200.0,1,,12,L2_Heterogeneous_Match
300,300,117592,87-HR-4268,87,HR,4268,"Shriver, Garner E.",To provide for the appointment of a district judge for the district of Kansas,,,1961,12,1204,12,1204,0,,,0.0,0.0,0.0,200.0,1,,12,L2_Heterogeneous_Match
301,301,221358,93-HR-5693,93,HR,5693,Marvin Leonel Esch,A bill to amend the Communication Act of 1934 to establish orderly procedures for the consideration of applications for renewal of broadcast licenses.,3/15/73,3.0,1973,17,1707,17,1707,0,,0,0.0,0.0,0.0,200.0,1,,17,L2_Heterogeneous_Match
302,302,127001,87-HR-13283,87,HR,13283,"Curtis, Thomas B.",To amend the Internal Revenue Code of 1954 to allow individual taxpayers the same 2-year carryover with respect to the deduction for charitable contributions as is presently provided for corporate taxpayers,,,1962,1,107,1,107,0,,,0.0,0.0,0.0,200.0,1,,1,L2_Heterogeneous_Match
303,303,283446,114-HR-1787,114,hr,1787,Eleanor Norton,"To amend the Fair Labor Standards Act of 1938 to prohibit discrimination in the payment of wages on account of sex, race, or national origin, and for other purposes.",4/14/15,4.0,2015,2,200,2,200,0,,,0.0,0.0,0.0,100.0,0,.,5,L2_Heterogeneous_Match
304,304,372239,95-S-2161,95,S,2161,"Jackson, Henry M. (Scoop)",A bill to create the Energy Corporation of the Northeast and to authorize the Secretary of Treasury to provide guarantees for the obligations of such corporation and other financial assistance to such corporation.,9/29/77,9.0,1977,8,800,8,800,0,,0,0.0,0.0,1.0,100.0,2,,8,L2_Heterogeneous_Match
305,305,217959,93-HR-17167,93,HR,17167,Robert Carlton Bob Wilson,A bill to increase the availability of reasonably priced mortgage credit for home purchases.,10/8/74,10.0,1974,14,1410,14,1410,0,,0,0.0,0.0,0.0,200.0,1,,14,L2_Heterogeneous_Match
306,306,259814,95-HR-11748,95,HR,11748,Abner Joseph Mikva,A bill to amend the Foreign Assistance Act of 1961 to provide for a reduction of the United States contribution to the United Nations.,3/22/78,3.0,1978,19,1926,19,1926,0,,0,0.0,0.0,1.0,100.0,1,,19,L2_Heterogeneous_Match
307,307,308165,105-S-44,105,S,44,Jesse Helms,A bill to make it a violation of a right secured by the Constitution and laws of the United States to perform an abortion with the knowledge that the abortion is being performed solely because of the gender of the fetus.,1/21/97,1.0,1997,2,207,2,207,0,,0,0.0,0.0,1.0,200.0,2,,2,L2_Heterogeneous_Match
308,308,11475,101-HR-5679,101,HR,5679,Edward Rell Madigan,To revise and extend the Developmental Disabilities Assistance and Bill of Rights Act.,9/19/90,9.0,1990,2,205,2,205,0,,0,1.0,0.0,0.0,200.0,1,,13,L2_Heterogeneous_Match
309,309,136031,88-HR-8787,88,HR,8787,"Goodell, Charles E.","To amend the Juvenile Delinquency and Youth Offenses Control Act of 1961 by extending its provisions for 2 additional years and providing for certain special projects and studies, and for other purposes",,,1963,12,1206,12,1206,0,,,0.0,0.0,0.0,200.0,1,,12,L2_Heterogeneous_Match
310,310,251540,95-HR-658,95,HR,658,James Kenneth Robinson,"A bill to amend the Internal Revenue Code of 1954 to allow a deduction from gross income for social agency, legal, and related expenses incurred in connection with the adoption of a child by the taxpayer.",1/4/77,1.0,1977,12,1208,12,1208,0,,0,0.0,0.0,0.0,200.0,1,,1,L2_Heterogeneous_Match
311,311,284774,98-HR-74,98,HR,74,Mario Biaggi,A bill to amend the Foreign Assistance Act of 1961 to authorize economic relief and rehabilitation assistance for Ireland.,1/3/83,1.0,1983,19,1901,19,1901,0,,0,0.0,0.0,1.0,100.0,1,,19,L2_Heterogeneous_Match
312,312,194563,91-HR-15402,91,HR,15402,"Patman, J.W. Wright","To amend the National Housing Act and the Federal Reserve Act to help meet the national housing goals, including the goals for low- and moderate-income families through the purchase of mortgages with private pension funds and Federal Reserve assets",,,1969,14,1410,14,1410,0,,,0.0,0.0,1.0,100.0,1,,14,L2_Heterogeneous_Match
313,313,433320,109-HR-3554,109,HR,3554,Virgil H. Goode,To amend the crop disaster assistance program for 2003 to clarify the manner in which the Secretary of Agriculture is required to make assistance available to producers under the program.,7/28/05,7.0,2005,4,402,4,402,0,,0,,0.0,1.0,200.0,1,,4,L2_Heterogeneous_Match
314,314,273707,97-HR-82,97,HR,82,John Milan Ashbrook,A bill to provide that the Internal Revenue Service may not implement certain rules relating to the determination of whether private schools have discriminatory policies until Congress provides specific guidelines for such determinations.,1/5/81,1.0,1981,2,201,2,201,0,,0,0.0,0.0,0.0,200.0,1,,2,L3_Expert_Consensus
315,315,191633,91-HR-12438,91,HR,12438,"Whitehurst, G. William","To protect interstate and foreign commerce by prohibiting the movement in such commerce of horses which are sored, and for other purposes",,,1969,4,405,4,405,0,,,0.0,0.0,0.0,200.0,1,,4,L2_Heterogeneous_Match
316,316,313301,107-S-611,107,S,611,Barbara A. Mikulski,"A bill to amend title II of the Social Security Act to provide that the reduction in social security benefits which are required in the case of spouses and surviving spouses who are also receiving certain Government pensions shall be equal to the amount by which two-thirds of the total amount of the combined monthly benefit (before reduction) and monthly pension exceeds $1,200, adjusted for inflation.",3/26/01,3.0,2001,13,1303,13,1303,0,,,0.0,0.0,1.0,100.0,2,,13,L2_Heterogeneous_Match
317,317,389251,80-S-2349,80,S,2349,"Baldwin, Raymo",A bill relating to the issuance of reentry permits to certain aliens,,,1948,9,900,9,900,0,,,0.0,0.0,1.0,200.0,2,,9,L2_Heterogeneous_Match
318,318,52976,81-HR-7603,81,HR,7603,"Case, Francis H.",To authorize the sale of certain land on the Pine Ridge Reservation in South Dakota allotted to David Red Star,,,1950,21,2102,21,2102,0,,,0.0,0.0,0.0,200.0,1,,21,L2_Heterogeneous_Match
319,319,233963,93-HR-16291,93,HR,16291,Gus Yatron,"A bill to establish an office within the Congress with a toll-free telephone number, to be known as the Congressional Advisory Legislative Line (CALL), to provide the American people with free and open access to information, on an immediate basis, relating to the status of legislative proposals pending before the Congress.",8/6/74,8.0,1974,2,208,2,208,0,,0,0.0,0.0,1.0,100.0,1,,20,L2_Heterogeneous_Match
320,320,453832,111-S-695,111,S,695,Olympia J. Snowe,A bill to authorize the Secretary of Commerce to reduce the matching requirement for participants in the Hollings Manufacturing Partnership Program.,3/25/09,3.0,2009,17,1705,17,1705,0,0000-00-00,,0.0,0.0,0.0,200.0,2,0,15,L2_Heterogeneous_Match
321,321,193618,91-HR-14652,91,HR,14652,"Fulton, Richard H.",To amend title 33 of the United States Code to liberalize the specially adapted housing assistance available under chapter 21 of such title for the remodeling of dwellings,,,1969,14,1407,14,1407,0,,,0.0,0.0,1.0,100.0,1,,14,L2_Heterogeneous_Match
322,322,290130,114-S-1075,114,s,1075,Kirsten Gillibrand,A bill to strengthen and extend the authorization of appropriations for the Carol M. White Physical Education Program and for other purposes.,4/23/15,4.0,2015,3,331,3,331,0,,,0.0,0.0,0.0,100.0,1,.,6,L2_Heterogeneous_Match
323,323,250102,95-HR-7453,95,HR,7453,James Charles Corman,A bill to amend title XVIII of the Social Security Act to provide for the coverage of certain psychologists' services under the supplementary medical insurance benefits program established by part B of such title.,5/26/77,5.0,1977,3,333,3,333,0,,0,0.0,0.0,1.0,100.0,1,,3,L2_Heterogeneous_Match
324,324,133435,88-HR-6422,88,HR,6422,"Fisher, O. Clark","To extend the application of the Classification Act of 1949 to certain positions in, and employees of, the executive branch of the Government",,,1963,20,2002,20,2002,0,,,0.0,0.0,1.0,100.0,1,,20,L2_Heterogeneous_Match
325,325,433176,109-HR-3410,109,HR,3410,John Nathan Hostettler,To amend the Internal Revenue Code of 1986 to provide a religious exemption from providing identifying numbers for dependents to claim certain credits and deductions on a tax return.,7/22/05,7.0,2005,2,207,2,207,0,,0,,0.0,1.0,200.0,1,,1,L2_Heterogeneous_Match
326,326,51068,81-HR-5732,81,HR,5732,"O'Konski, Alvin E.",To provide for the advance planning of public works,,,1949,10,1010,10,1010,0,,,0.0,0.0,0.0,200.0,1,,10,L3_Expert_Consensus
327,327,375102,95-S-1051,95,S,1051,"Huddleston, Walter D.","An original bill to amend the U.S. Grain Standards Act with respect to recordkeeping requirements and supervision fees, and to establish an advisory committee to provide advice to the administration of the Federal Grain Inspection Service.",3/18/77,3.0,1977,4,403,4,403,0,,0,0.0,1.0,1.0,100.0,2,,4,L2_Heterogeneous_Match
328,328,286088,114-HR-4175,114,hr,4175,Eric Crawford,To amend the Internal Revenue Code of 1986 to allow a deduction for conservation expenditures to reduce groundwater consumption.,2012/3/15,12.0,2015,7,711,7,711,0,,,0.0,0.0,1.0,200.0,0,.,7,L3_Expert_Consensus
329,329,453191,111-S-3772,111,S,3772,Harry M. Reid,"A bill to amend the Fair Labor Standards Act of 1938 to provide more effective remedies to victims of discrimination in the payment of wages on the basis of sex, and for other purposes.",9/13/10,9.0,2010,5,505,5,505,0,0000-00-00,,0.0,0.0,1.0,100.0,2,0,5,L2_Heterogeneous_Match
330,330,984794,112-H-925,112,HR,925,Dale E. Kildee,To authorize the Secretary of Education to make grants to support early college high schools and other dual enrollment programs.,2003/3/11,3.0,2011,15,1521,15,1521,0,,,,,0.0,100.0,1,,6,L2_Heterogeneous_Match
331,331,154175,89-HR-14109,89,HR,14109,"Staggers, Harley O.",To amend the communications Act of 19$4 to give the . Federal Communications Commission certain additional regulatory authority over communlcation common carriers,,,1966,17,1707,17,1707,0,,,0.0,0.0,1.0,100.0,1,,17,L2_Heterogeneous_Match
332,332,31224,105-HR-3796,105,HR,3796,Robert Freeman Smith,To authorize the Secretary of Agriculture to convey the administrative site for the Rogue River National Forest and use the proceeds for the construction or improvement of offices and support buildings for the Rogue River National Forest and the Bureau of Land Management.,5/5/98,5.0,1998,21,2103,21,2103,1,10/26/98,105-282,1.0,1.0,1.0,200.0,1,,21,L2_Heterogeneous_Match
333,333,390270,80-S-2295,80,S,2295,"Capper, Arthur",A bill to direct the Chief of the Weather Bureau to conduct experiments with respect to methods of controlling rainfall,,,1948,17,1708,17,1708,0,,,0.0,0.0,1.0,200.0,2,,7,L2_Heterogeneous_Match
334,334,260828,95-HR-2086,95,HR,2086,Trent Lott,A bill to reaffirm the intent of Congress with respect to the structure of the common carrier telecommunications industry rendering services in interstate and foreign commerce; to grant additional authority to the Federal Communications Commission to authorize mergers of carriers when deemed to be in the public interest; to reaffirm the authority of the States to regulate terminal and station equipment used for telephone exchange service; to require the Federal Communications Commission to make certain findings in connection with Commission actions authorizing specialized carriers.,1/19/77,1.0,1977,17,1706,17,1706,0,,0,0.0,0.0,0.0,200.0,1,,17,L2_Heterogeneous_Match
335,335,987901,112-S-524,112,S,524,Dianne Feinstein,"A bill to terminate certain hydropower reservations, and for other purposes.",2003/9/11,3.0,2011,8,802,8,802,0,,,,,1.0,100.0,2,,21,L3_Expert_Consensus
336,336,307289,105-S-232,105,S,232,Thomas Tom Harkin,"A bill to amend the Fair Labor Standards Act of 1938 to prohibit discrimination in the payment of wages on account of sex, race, or national origin, and for other purposes.",1/29/97,1.0,1997,5,505,5,505,0,,0,0.0,0.0,0.0,100.0,2,,5,L2_Heterogeneous_Match
337,337,334712,85-S-2097,85,S,2097,"Green, Theodor",A bill to amend the Foreign Service Buildings Act of 1926.,,,1957,19,1929,19,1929,0,,,0.0,0.0,1.0,100.0,2,,20,L2_Heterogeneous_Match
338,338,247401,94-HR-11803,94,HR,11803,"Ryan, Leo J.","A bill to amend the Walsh-Healey Act to prevent contractors from replacing certain employees participating in a strike, and for other purposes.",2/9/76,2.0,1976,5,505,5,505,0,,0,0.0,0.0,1.0,100.0,1,,5,L2_Heterogeneous_Match
339,339,311905,106-S-679,106,S,679,Rod Grams,"A bill to authorize appropriations to the Department of State for construction and security of United States diplomatic facilities, and for other purposes.",3/23/99,3.0,1999,19,1929,19,1929,0,,0,0.0,0.0,1.0,,2,,19,L2_Heterogeneous_Match
340,340,431289,109-HR-1523,109,HR,1523,Carolyn McCarthy,"To provide student loan forgiveness to the surviving spouses of the victims of the September 11, 2001, tragedies.",2004/6/5,4.0,2005,6,601,6,601,0,,0,,0.0,0.0,100.0,1,,6,L2_Heterogeneous_Match
341,341,985942,112-S-195,112,S,195,John D. Jay Rockefeller,A bill to reinstate Federal matching of State spending of child support incentive payments.,1/26/11,1.0,2011,12,1208,12,1208,0,,,,,1.0,100.0,2,,13,L2_Heterogeneous_Match
342,342,416535,110-S-1622,110,S,1622,Olympia J. Snowe,A bill to require the Federal Communications Commission to reevaluate the band plans for the upper 700 megaHertz band and the un-auctioned portions of the lower 700 megaHertz band and reconfigure them to include spectrum to be licensed for small geographic areas.,6/14/07,6.0,2007,17,1707,17,1707,0,,0,0.0,0.0,0.0,200.0,2,,17,L2_Heterogeneous_Match
343,343,297014,101-S-2426,101,S,2426,Patrick J. Leahy,"A bill to authorize the President to designate a private nonprofit Foundation as eligible to receive funds for the purpose of promoting community tree planting and cultivation projects, to authorize the Secretary of Agriculture to establish a rural tree planting program and a community tree planning program, and for other purposes.",4/5/90,4.0,1990,7,711,7,711,0,,0,0.0,0.0,1.0,100.0,2,,7,L3_Expert_Consensus
344,344,156815,89-HR-16704,89,HR,16704,"Springer, William L.",To amend title II of the Social Security Act to provide for cost-of-living increases in the benefits payable thereunder,,,1966,13,1303,13,1303,0,,,0.0,0.0,0.0,200.0,1,,13,L2_Heterogeneous_Match
345,345,259942,95-HR-10963,95,HR,10963,Matthew John Rinaldo,A bill to prohibit the Board for International Broadcasting from providing funds or other assistance to Radio Free Europe and Radio Liberty if they allow any Communist country to use their facilities to broadcast.,2/15/78,2.0,1978,19,1929,19,1929,0,,0,0.0,0.0,0.0,200.0,1,,19,L2_Heterogeneous_Match
346,346,217787,93-HR-12592,93,HR,12592,John Anton Blatnik,"A bill to amend the Internal Revenue Code of 1954 to eliminate, in the case of any oil or gas well located outside the United States, the percentage depletion allowance and the option to deduct intangible drilling and development costs, and to deny a foreign tax credit with respect to the income derived from any such well.",2/5/74,2.0,1974,8,803,8,803,0,,0,0.0,0.0,1.0,100.0,1,,8,L3_Expert_Consensus
347,347,408330,108-S-574,108,S,574,Jon Stevens Corzine,A bill to amend part A of title IV of the Social Security Act to toll the 5-year limit for assistance under the temporary assistance to needy families program for recipients who live in a State that is experiencing significant increases in unemployment.,2003/7/3,3.0,2003,13,1302,13,1302,0,,0,0.0,0.0,0.0,100.0,2,,13,L2_Heterogeneous_Match
348,348,210218,92-HR-10999,92,HR,10999,"Mikva, Abner J.",To amend the Voting Rights Act of 1965,,,1971,2,206,2,206,0,,,0.0,0.0,1.0,100.0,1,,2,L2_Heterogeneous_Match
